"target_id" "ext_gene" "pval" "qval" "test_stat" "rss" "degrees_free" "mean_obs" "var_obs" "tech_var" "sigma_sq" "smooth_sigma_sq" "final_sigma_sq"
"1" "FBgn0053105" "p24-2" 1.47527153978383e-10 1.66307360679831e-06 41.0613210716419 97.4820140422766 1 3.33756517851746 19.4964028084553 0.00239485236508131 19.4940079560902 0.0851134735997501 19.4940079560902
"2" "FBgn0013772" "Cyp6a8" 1.17956990640944e-09 6.6486457774768e-06 37.0028453118006 23.7823639443334 1 6.82055996727333 4.75647278886668 0.00381910362012659 4.75265368524655 0.00833760685414255 4.75265368524655
"3" "FBgn0283433" "SdicB" 5.01450517835451e-09 1.88428389585301e-05 34.1837848423859 68.1768990019505 1 2.67696947718992 13.6353798003901 0.00825962095615911 13.6271201794339 0.174713069846733 13.6271201794339
"4" "FBgn0051683" "CG31683" 2.36182423117242e-08 5.32496891160133e-05 31.1717154175966 10.5050657787927 1 6.04248088058451 2.10101315575854 0.0152627536043542 2.08575040215418 0.0105270679465695 2.08575040215418
"5" "FBgn0053491" "CR33491" 1.99201226586303e-08 5.32496891160133e-05 31.5023286235119 56.045530371063 1 2.36264729479305 11.2091060742126 0.00264462879498528 11.2064614454176 0.247699083345378 11.2064614454176
"6" "FBgn0039099" "GILT2" 6.04303021120642e-08 0.00011353846595155 29.3495578845342 3.26508010894643 1 7.028157708353 0.653016021789286 0.00131336272713761 0.651702659062149 0.00789264884984807 0.651702659062149
"7" "FBgn0034761" "CG4250" 9.58162510270758e-08 0.000154305228261175 28.4567273198638 8.72851133375191 1 5.98049286074954 1.74570226675038 0.00394497385438943 1.74175729289599 0.0107332617830947 1.74175729289599
"8" "FBgn0016697" "Prosalpha5" 1.68682293129085e-07 0.000190155549044418 27.362365872822 1.21252909336489 1 7.95619885132423 0.242505818672977 0.000393569394991032 0.242112249277986 0.00717430726312588 0.242112249277986
"9" "FBgn0025454" "Cyp6g1" 1.56585582046491e-07 0.000190155549044418 27.5062757254214 12.3147574008557 1 9.78778896134033 2.46295148017113 0.000129452339161446 2.46282202783197 0.00971118067217092 2.46282202783197
"10" "FBgn0053667" "CG33667" 1.42542699065085e-07 0.000190155549044418 27.6880205504723 3.08304758501238 1 5.8259471735217 0.616609517002477 0.00587977718390838 0.610729739818567 0.0113014590727962 0.610729739818567
"11" "FBgn0037975" "CG3397" 1.94398318890641e-07 0.000199222931714018 27.0880261568745 7.65462775512343 1 5.06221402381293 1.53092555102468 0.0120120417689127 1.51891350925577 0.017557259094097 1.51891350925577
"12" "FBgn0036842" "Ugt316A1" 2.68126084703446e-07 0.000251882112738496 26.4666593868874 1.66751259737833 1 6.15480880932528 0.333502519475664 0.00238363376591103 0.331118885709754 0.0101354824679267 0.331118885709754
"13" "FBgn0039760" "CG9682" 2.94633616694405e-07 0.000255492673922772 26.2845676623572 2.42700530677713 1 6.98579072089435 0.485401061355425 0.00122221593578548 0.48417884541964 0.00797317600779382 0.48417884541964
"14" "FBgn0025693" "ZnT41F" 3.30995466849029e-07 0.000266522278413508 26.0598524683467 1.74925677342356 1 6.07941726063015 0.349851354684711 0.00272079858676048 0.347130556097952 0.0104028327934059 0.347130556097952
"15" "FBgn0034259" "P32" 3.94434367109028e-07 0.000296430574694672 25.7213736969097 0.924946975639018 1 7.4989547388712 0.184989395127804 0.000666159655343513 0.18432323547246 0.00728928201268548 0.18432323547246
"16" "FBgn0033696" "Cyp6g2" 4.29380819837624e-07 0.000302525623876846 25.5575580518075 4.21068979664121 1 5.28405591234348 0.842137959328243 0.00660157128664587 0.835536388041596 0.0150659574181981 0.835536388041596
"17" "FBgn0034139" "CG4927" 4.60535736904237e-07 0.000304878682388221 25.4224154876829 8.17861739933178 1 4.15347600571107 1.63572347986636 0.0326142471641378 1.60310923270222 0.0377813782061392 1.60310923270222
"18" "FBgn0038719" "CG16727" 4.86810634523905e-07 0.000304878682388221 25.3153838428203 1.46871434891278 1 6.77163284638764 0.293742869782556 0.000986704932645435 0.292756164849911 0.00845746673393009 0.292756164849911
"19" "FBgn0035619" "Alp10" 5.85769840212308e-07 0.000315373506688536 24.9585236564065 1.27386473187842 1 6.91054288829174 0.254772946375684 0.00130868275516569 0.253464263620519 0.00813019124604302 0.253464263620519
"20" "FBgn0035620" "Alp9" 6.15775426810265e-07 0.000315373506688536 24.8622173243233 1.22075845013502 1 6.83406147652044 0.244151690027004 0.0013418591347068 0.242809830892297 0.00830532248614488 0.242809830892297
"21" "FBgn0035666" "Jon65Aii" 6.30575362519956e-07 0.000315373506688536 24.8164347206095 8.95786199392658 1 5.7166852585661 1.79157239878532 0.00613062781422272 1.78544177097109 0.0118308454301192 1.78544177097109
"22" "FBgn0052819" "CG32819" 6.43448119740647e-07 0.000315373506688536 24.7774814171917 2.9511072515599 1 5.15619202211777 0.59022145031198 0.0105643582991793 0.5796570920128 0.0164073163994493 0.5796570920128
"23" "FBgn0052820" "CG32820" 5.63065428770989e-07 0.000315373506688536 25.0347424966992 2.923994167027 1 5.22001606407813 0.584798833405402 0.010602406033586 0.574196427371815 0.0157080870414698 0.574196427371815
"24" "FBgn0039315" "CG13658" 7.30774731318074e-07 0.00032910448513198 24.5322222265931 8.53047850833472 1 4.75356333211301 1.70609570166694 0.0179281172320302 1.68816758443491 0.0223705647628209 1.68816758443491
"25" "FBgn0051809" "CG31809" 7.59045206549408e-07 0.00032910448513198 24.4590905561244 3.60066765761475 1 5.33579081321271 0.720133531522949 0.0111921436156676 0.708941387907282 0.0145859567158271 0.708941387907282
