"target_id" "ext_gene" "pval" "qval" "test_stat" "rss" "degrees_free" "mean_obs" "var_obs" "tech_var" "sigma_sq" "smooth_sigma_sq" "final_sigma_sq" "SRR5311879" "SRR5311880" "SRR5311881" "SRR5311882" "SRR5311883" "SRR5311884"
"1" "FBgn0000008" "a" 0.0571568102376848 0.177315382926492 3.6180214381762 0.171595140519021 1 5.97359918168365 0.0343190281038039 0.00263445609513044 0.0316845720086738 0.0107563954894809 0.0316845720086738 6.58665640627683 6.72545726457463 5.59464419333908 5.11291874358423 5.89267982286901 4.06071919462863
"2" "FBgn0000014" "abd-A" 0.0156384560394744 0.0837175449556402 5.84307689010351 0.076528537160652 1 6.20858342775343 0.0153057074321303 0.0019216811718202 0.0133840262603102 0.00994828083683471 0.0133840262603102 8.30293600742532 7.46347257883343 8.8915642334349 6.9864645897009 7.23203066965392 6.25843735137015
"3" "FBgn0000015" "Abd-B" 0.201672409732676 0.283296333322922 1.63022153613632 0.024174988699199 1 5.71175284456098 0.0048349977398398 0.00397587903735807 0.000859118702481738 0.0118586807911769 0.0118586807911769 6.02551848218385 5.59608451364176 6.5599569243155 6.3305630726056 6.01473690869914 5.42425005857155
"4" "FBgn0000017" "Abl" 0.491116964089457 0.559115485374717 0.474078200652208 0.0358532067745848 1 7.1289977636777 0.00717064135491691 0.000815958624051765 0.00635468273086519 0.00772572635168295 0.00772572635168295 14.0658512348126 15.7661882909172 12.8303656701716 13.6945403629856 14.5091658555647 12.460531095227
"5" "FBgn0000024" "Ace" 0.0613553570743254 0.182447623397222 3.50036360029506 0.0320977718944352 1 6.58473561001976 0.00641955437888707 0.00112780607404045 0.00529174830484658 0.00894005829809727 0.00894005829809727 11.8715699013254 10.8899602741041 11.7378910653382 13.7633831830415 12.8423043831904 11.7745433081735
"6" "FBgn0000028" "acj6" 0.191518854672249 0.275416768557247 1.70589489228884 0.0823011225768043 1 4.06999197178049 0.0164602245153608 0.0187484902669551 -0.00228826575159429 0.0407978487536635 0.0407978487536635 1.75086359029154 1.54614630977144 1.47394934940884 1.53142686040473 1.8319564729823 1.26872637165925
"7" "FBgn0000032" "Acph-1" 0.279511992903003 0.350610737286697 1.16946112289502 0.0351382516862601 1 6.88509388367465 0.00702765033725198 0.000956689463575419 0.0060709608736766 0.0081868931368812 0.0081868931368812 38.1740325101653 42.6242513478072 34.832040162162 34.8747562667668 34.8025074394574 38.7470461854483
"8" "FBgn0000036" "nAChRalpha1" 0.000146009551249 0.00504897445162568 14.422981534465 0.73019671457431 1 4.32119276941895 0.146039342914862 0.00445423024152646 0.141585112673336 0.0324921318857999 0.141585112673336 1.03633428451849 0.958941234884297 0.867627311471154 1.82545216311908 2.14485570680478 1.70220273536906
"9" "FBgn0000037" "mAChR-A" 0.0787424310235612 0.205086014869679 3.09066894201046 0.0383370907488814 1 5.38019547513799 0.00766741814977624 0.00460071767473213 0.00306670047504415 0.0141988264245798 0.0141988264245798 2.77624428533926 2.45378301719193 2.40827971644274 2.95009588867796 2.95289353270216 2.70856201861706
"10" "FBgn0000038" "nAChRbeta1" 0.635830671145026 0.700656808975355 0.224236545478377 0.154536831187403 1 6.59878462867302 0.0309073662374806 0.00149477709274765 0.0294125891447329 0.0089037064058149 0.0294125891447329 31.8536432307872 31.9955084992538 42.3899708425996 31.7740273250065 39.472162983038 25.8266485950891
"11" "FBgn0000039" "nAChRalpha2" 0.0633938796608819 0.184804552732641 3.44629095481812 0.127131961921239 1 4.79290695180464 0.0254263923842477 0.00869436969344163 0.0167320226908062 0.0216599349927017 0.0216599349927017 4.48349646968387 3.34132339118606 4.39547027996376 3.54191775591081 3.07655728347105 3.24039274409291
"12" "FBgn0000042" "Act5C" 0.0566178150084938 0.176312880826174 3.63378797282559 0.0324644141995052 1 10.3643356587356 0.00649288283990106 4.68904264908871e-05 0.00644599241341016 0.0117784190251209 0.0117784190251209 993.117461903259 1070.99966373187 1152.44599788178 951.446850203291 967.995738714631 931.48255028214
"13" "FBgn0000043" "Act42A" 0.0405988762231027 0.147683488758644 4.19267967174766 0.0194212159035036 1 8.25511971100912 0.00388424318070085 0.000279605739341921 0.00360463744135879 0.00726696537343663 0.00726696537343663 165.179293124851 175.126863958911 164.418680642108 191.078098740617 186.217627030206 181.557925540752
"14" "FBgn0000044" "Act57B" 0.178528992707587 0.265719215050519 1.80982692952426 0.121306832546668 1 10.3549033927748 0.0242613665093336 3.35227868627391e-05 0.0242278437224708 0.0117376926222972 0.0242278437224708 1383.62380402642 1229.07106431126 1830.59680399177 1199.82192553534 1276.80490847842 1272.99506845281
"15" "FBgn0000045" "Act79B" 0.295018308252281 0.364904694857139 1.09657804720719 0.126760161533073 1 10.5597077556461 0.0253520323066145 2.53985310873743e-05 0.0253266337755271 0.0126811393292452 0.0253266337755271 1997.41442346592 1566.86873785388 2403.21756091359 1598.42889327239 1724.57784394622 1825.52458710936
"16" "FBgn0000046" "Act87E" 0.596042174289928 0.661532286183947 0.281006659598586 0.108249813649974 1 9.37916337853531 0.0216499627299945 9.09644834542043e-05 0.0215589982465405 0.00868759959786445 0.0215589982465405 563.601959814338 454.610776635025 689.906762719703 487.038331640892 501.671754030774 562.253582831768
"17" "FBgn0000047" "Act88F" 1 1 -0.320882013249235 0.436498979247577 1 10.5516838752333 0.0872997958495159 2.54565278943998e-05 0.0872743393216211 0.0126417617885467 0.0872743393216211 1534.23479153933 1279.27216272467 2838.1285860339 1497.78200003059 1787.43636907533 2274.21129681221
